;Bytes        |8080        |8085        |gbz80|r2k|r3k|z180|z80|z80n
66; 23        |ld h, (hl+) |~           |     |   |   |    |   |    
              |ldi h, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
66; 2B        |ld h, (hl-) |~           |     |   |   |    |   |    
              |ldd h, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
67            |ld h, a     |~           |     |   |   |    |   |    
              |mov h, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
68            |ld l, b     |~           |     |   |   |    |   |    
              |mov l, b    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
69            |ld l, c     |~           |     |   |   |    |   |    
              |mov l, c    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
6A            |ld l, d     |~           |     |   |   |    |   |    
              |mov l, d    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
6B            |ld l, e     |~           |     |   |   |    |   |    
              |mov l, e    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
6C            |ld l, h     |~           |     |   |   |    |   |    
              |mov l, h    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
6D            |ld l, l     |~           |     |   |   |    |   |    
              |mov l, l    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
6E            |ld l, (hl)  |~           |     |   |   |    |   |    
              |mov l, m    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
6E; 23        |ld l, (hl+) |~           |     |   |   |    |   |    
              |ldi l, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
6E; 2B        |ld l, (hl-) |~           |     |   |   |    |   |    
              |ldd l, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
6F            |ld l, a     |~           |     |   |   |    |   |    
              |mov l, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
70            |ld (hl), b  |~           |     |   |   |    |   |    
              |mov m, b    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
71            |ld (hl), c  |~           |     |   |   |    |   |    
              |mov m, c    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
71; 23; 70; 23|ld (hl+), bc|~           |     |   |   |    |   |    
              |ldi (hl), bc|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
71; 23; 70; 2B|ld (hl), bc |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
72            |ld (hl), d  |~           |     |   |   |    |   |    
              |mov m, d    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
73            |ld (hl), e  |~           |     |   |   |    |   |    
              |mov m, e    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
73; 23; 72; 23|ld (hl+), de|~           |     |   |   |    |   |    
              |ldi (hl), de|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
73; 23; 72; 2B|ld (hl), de |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
74            |ld (hl), h  |~           |     |   |   |    |   |    
              |mov m, h    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
75            |ld (hl), l  |~           |     |   |   |    |   |    
              |mov m, l    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
76            |halt        |~           |     |   |   |    |   |    
              |hlt         |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
77            |ld (hl), a  |~           |     |   |   |    |   |    
              |mov m, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
78            |ld a, b     |~           |     |   |   |    |   |    
              |mov a, b    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
79            |ld a, c     |~           |     |   |   |    |   |    
              |mov a, c    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7A            |ld a, d     |~           |     |   |   |    |   |    
              |mov a, d    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7B            |ld a, e     |~           |     |   |   |    |   |    
              |mov a, e    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7C            |ld a, h     |~           |     |   |   |    |   |    
              |mov a, h    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7D            |ld a, l     |~           |     |   |   |    |   |    
              |mov a, l    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7E            |ld a, (hl)  |~           |     |   |   |    |   |    
              |mov a, m    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7E; 23        |ld a, (hl+) |~           |     |   |   |    |   |    
              |ldi a, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7E; 2B        |ld a, (hl-) |~           |     |   |   |    |   |    
              |ldd a, (hl) |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
7F            |ld a, a     |~           |     |   |   |    |   |    
              |mov a, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
80            |add a, b    |~           |     |   |   |    |   |    
              |add b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
81            |add a, c    |~           |     |   |   |    |   |    
              |add c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
82            |add a, d    |~           |     |   |   |    |   |    
              |add d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
83            |add a, e    |~           |     |   |   |    |   |    
              |add e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
84            |add a, h    |~           |     |   |   |    |   |    
              |add h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
85            |add a, l    |~           |     |   |   |    |   |    
